batch,gen_loss
0,22.3254432678223
1,23.6092338562012
2,33.0007095336914
3,18.1516513824463
4,36.7987747192383
5,39.1267166137695
6,40.7760467529297
7,36.3739204406738
8,33.0089492797852
9,30.5310516357422
10,29.1046714782715
11,28.146203994751
12,27.9021682739258
13,27.7582664489746
14,27.7350196838379
15,27.4653873443604
16,27.4050045013428
17,27.3485927581787
18,26.5780391693115
19,25.7256851196289
20,27.4839057922363
21,26.6682949066162
22,27.2490425109863
23,26.5525798797607
24,26.2923545837402
25,27.1489696502686
26,26.6124496459961
27,26.4152812957764
28,26.2586364746094
29,26.3340950012207
30,26.1250381469727
31,25.2105960845947
32,20.3526649475098
33,10.8926219940186
34,61.4682235717774
35,70.3954620361328
36,57.3427314758301
37,39.2152252197266
38,30.0234870910645
39,25.1872024536133
40,42.7637786865234
41,53.7891311645508
42,42.3286819458008
43,52.6790313720703
44,57.1220245361328
45,57.3738784790039
46,55.949405670166
47,45.3413276672363
48,52.1397094726563
49,54.6724014282227
50,54.0655899047852
51,48.8591461181641
52,52.7550964355469
53,54.6328887939453
54,55.0486602783203
55,51.8576126098633
56,52.7608261108398
57,55.3075485229492
58,50.1979637145996
59,53.9781646728516
60,55.6525573730469
61,51.174877166748
62,51.5344390869141
63,54.3345794677734
64,52.2163696289063
65,53.2770919799805
66,52.5127716064453
67,51.7196884155274
68,47.817008972168
69,49.9512825012207
70,50.5263442993164
71,53.375431060791
72,53.1398315429688
73,56.5455360412598
74,54.853759765625
75,54.0923919677734
76,53.7876205444336
77,58.0195770263672
78,56.0167541503906
79,53.6558380126953
80,57.4899940490723
81,53.5950126647949
82,56.0949554443359
83,52.2571334838867
84,55.8336029052734
85,55.567325592041
86,55.5529556274414
87,54.1084938049316
88,54.1994705200195
89,54.140308380127
90,53.7572555541992
91,53.7759857177734
92,53.8762321472168
93,53.9419136047363
94,52.9454650878906
95,56.0456314086914
96,53.4363479614258
97,50.3941345214844
98,54.8323287963867
99,52.9114837646484
100,51.8541107177734
101,52.0188064575195
102,49.2231063842773
103,56.6185531616211
104,47.0305824279785
105,52.4428405761719
106,55.321647644043
107,52.4587936401367
108,50.0358734130859
109,48.2408256530762
110,52.9931983947754
111,51.8521881103516
112,56.1091804504395
113,54.1373596191406
114,58.2149963378906
115,55.2060012817383
116,52.8530654907227
117,53.4713516235352
118,52.4460258483887
119,54.4638442993164
120,42.9878997802734
121,57.4224166870117
122,56.3218612670898
123,48.6800193786621
124,55.537971496582
125,49.7633590698242
126,53.9836273193359
127,53.2985458374023
128,50.5160522460938
129,55.1527709960938
130,50.5160369873047
